model,recall,precision,f1,roc_auc
Decision Tree,0.6715824915824916,0.7051038554654132,0.68678270070351,0.8308097715200292
Logistic Regression,0.1993265993265993,0.7607357859531773,0.31187270687285,0.8938078388730369
Random Forest,0.4761616161616161,0.8622959528639041,0.6107954565176712,0.9665401597583237
